"MSPEC","Area.hd","Area_mm2.hd","Major_mm.hd","Minor_mm.hd","Lum_Mean.hd","Lum_StdDev.hd","Lum_Mode.hd","X_Mean.hd","X_StdDev.hd","X_Mode.hd","Y_Mean.hd","Y_StdDev.hd","Y_Mode.hd","Z_Mean.hd","Z_StdDev.hd","Z_Mode.hd","Sat_Mean.hd","Sat_StdDev.hd","Sat_Mode.hd","Area.fd","Area_mm2.fd","Major_mm.fd","Minor_mm.fd","Lum_Mean.fd","Lum_StdDev.fd","Lum_Mode.fd","X_Mean.fd","X_StdDev.fd","X_Mode.fd","Y_Mean.fd","Y_StdDev.fd","Y_Mode.fd","Z_Mean.fd","Z_StdDev.fd","Z_Mode.fd","Sat_Mean.fd","Sat_StdDev.fd","Sat_Mode.fd","Area.b","Area_mm2.b","Major_mm.b","Minor_mm.b","Lum_Mean.b","Lum_StdDev.b","Lum_Mode.b","X_Mean.b","X_StdDev.b","X_Mode.b","Y_Mean.b","Y_StdDev.b","Y_Mode.b","Z_Mean.b","Z_StdDev.b","Z_Mode.b","Sat_Mean.b","Sat_StdDev.b","Sat_Mode.b","Area.hv","Area_mm2.hv","Major_mm.hv","Minor_mm.hv","Lum_Mean.hv","Lum_StdDev.hv","Lum_Mode.hv","X_Mean.hv","X_StdDev.hv","X_Mode.hv","Y_Mean.hv","Y_StdDev.hv","Y_Mode.hv","Z_Mean.hv","Z_StdDev.hv","Z_Mode.hv","Sat_Mean.hv","Sat_StdDev.hv","Sat_Mode.hv","Area.fv","Area_mm2.fv","Major_mm.fv","Minor_mm.fv","Lum_Mean.fv","Lum_StdDev.fv","Lum_Mode.fv","X_Mean.fv","X_StdDev.fv","X_Mode.fv","Y_Mean.fv","Y_StdDev.fv","Y_Mode.fv","Z_Mean.fv","Z_StdDev.fv","Z_Mode.fv","Sat_Mean.fv","Sat_StdDev.fv","Sat_Mode.fv"
"74",40944,1320.7742,8.4602,6.412,0.1078,0.0398,0.1029,0.2621,1.9477,0.7205,0.2079,5.2133,-4.5306,3.2691,5.6505,-3.1712,7.573,4.0431,6.0301,46813,1510.0968,10.5674,5.8693,0.1175,0.0249,0.1157,0.5194,1.575,0.8916,0.4194,4.7503,-4.3883,4.3094,5.214,8.8727,7.7841,3.2642,6.4484,12410,400.3226,8.4315,1.9501,0.1643,0.0886,0.1116,-0.2165,2.8032,0.4138,-1.1688,3.9781,-3.0348,-2.0963,3.6007,-3.093,5.8614,2.8456,4.4778,42059,1356.7419,8.7262,6.3859,0.1843,0.0454,0.1751,0.8272,1.819,1.0231,-4.3997,2.798,-5.5439,-4.9604,2.2764,-5.7677,7.487,2.216,8.3967,45960,1482.5806,10.3402,5.8889,0.2039,0.0386,0.1959,1.058,1.2658,1.0518,-4.5364,1.9547,-5.4212,-4.9948,1.8003,-5.8312,7.109,2.1845,8.5289
"7",33463,1119.1639,8.1348,5.8585,0.1118,0.0338,0.1071,0.321,1.7351,0.7214,-1.0788,4.3976,-4.3194,1.4115,5.4994,-3.8541,6.8015,3.0969,5.9168,42746,1429.6321,10.3993,5.8541,0.1205,0.0268,0.1115,0.5831,1.2929,0.8875,-1.697,3.7565,-4.6073,1.3667,5.2194,-3.7516,6.4603,2.5252,6.5872,10551,352.8763,7.2689,2.0673,0.1283,0.0897,0.0482,-1.3633,3.0584,-1.9727,0.376,4.0129,1.1583,-0.2861,4.134,-3.8137,5.9585,3.0202,4.5304,36231,1211.7391,8.6345,5.976,0.1934,0.0432,0.2,0.2948,1.7682,0.5769,-3.4665,2.7252,-4.4524,-4.7565,2.3,-5.6492,6.8102,2.0474,7.0444,40845,1366.0535,10.261,5.6692,0.1995,0.0359,0.2049,0.7618,1.1838,0.8506,-3.9518,1.8635,-3.5375,-4.8187,1.7303,-3.8042,6.5323,2.1479,4.6097
"157",61279,1856.9394,9.7462,7.3512,0.1162,0.0332,0.1141,-0.2231,2.0593,1.2038,1.8427,4.8229,-3.2019,5.3501,6.2936,-1.9366,8.4899,5.2058,4.1632,68126,2064.4242,11.8013,6.7494,0.1227,0.0245,0.121,0.0816,1.56,0.2521,0.7957,3.8994,-2.9646,5.6039,6.0231,11.8117,8.3023,4.1268,4.5642,16208,491.1515,9.6441,1.9649,0.2277,0.1363,0.1047,-0.5167,2.4687,-0.8435,0.01,3.7138,0.6816,-1.4367,3.5234,-3.0821,5.0057,3.0942,3.604,59051,1789.4242,9.9043,6.9708,0.2046,0.0533,0.1971,1.0796,1.8011,1.4981,-3.8174,2.5465,-5.1189,-4.6738,2.1484,-5.3456,6.9377,1.9481,7.5215,66009,2000.2727,11.6482,6.6256,0.2288,0.0549,0.2449,1.0479,1.2322,0.7794,-3.653,1.7952,-3.7558,-4.5099,1.7314,-4.7482,6.2178,1.9645,5.975
"165",53120,1609.697,9.1196,6.8103,0.1307,0.0395,0.1244,-0.3814,2.0091,0.5442,3.7448,5.1314,-1.7927,6.6906,5.5699,12.2698,9.2999,5.8168,2.4985,61383,1860.0909,11.0081,6.5196,0.1331,0.0379,0.1353,-0.4607,1.6869,-0.3613,3.2316,4.7573,-1.3454,7.0181,5.5647,12.8111,9.274,5.5085,2.3341,16924,512.8485,9.5667,2.0683,0.2356,0.1666,0.0682,-0.4919,2.3941,-0.8258,0.1832,3.3843,0.0744,-0.2464,3.9721,-2.3486,5.0012,2.8786,3.7968,54573,1653.7273,9.2726,6.8811,0.2623,0.0614,0.2571,0.7017,1.4889,0.5961,-3.1711,2.0586,-3.6182,-3.755,1.9132,-3.8723,5.649,1.6888,5.3616,58382,1769.1515,11.1287,6.1336,0.257,0.0502,0.2755,0.899,1.0927,0.7786,-3.4496,1.7673,-3.3486,-3.9202,1.8359,-3.9345,5.631,2.0138,6.0322
"205",30541,985.1935,7.6758,5.2717,0.0933,0.0296,0.0923,0.5384,1.6074,1.0632,-1.3377,3.7951,-3.4044,0.0186,3.4748,-1.9971,4.9296,2.615,4.4044,35171,1134.5484,9.3464,4.9857,0.1211,0.0261,0.1119,0.9041,1.3171,1.2369,-2.4881,3.636,-3.9316,-1.1941,3.2769,-3.0012,5.3816,2.2728,5.3192,9894,319.1613,7.2034,1.8198,0.1395,0.0921,0.0981,-0.2537,2.4944,-0.0649,-0.7584,3.6549,-2.0289,-1.1306,3.9479,-2.0851,5.3006,2.9976,3.3391,31776,1025.0323,7.8465,5.3655,0.157,0.0374,0.1409,0.6259,1.5307,1.0589,-3.2004,2.1472,-3.5695,-3.8483,1.8828,-3.9792,5.6976,1.8654,5.7246,36595,1180.4839,9.2599,5.236,0.1873,0.0335,0.1859,0.6869,0.976,0.9098,-3.2646,1.4691,-3.5819,-3.9295,1.3351,-3.9706,5.3812,1.5833,5.361
"230",36963,1120.0909,7.6948,5.6163,0.1203,0.0343,0.1147,0.6048,1.2493,1.0249,-1.8657,2.3778,-3.0536,-0.7576,2.1449,-1.4943,3.6138,1.7822,3.6142,42665,1292.8788,9.3948,5.3097,0.1184,0.0171,0.1138,1.0981,1.032,1.0995,-2.5892,2.2653,-3.6426,-1.1151,2.3103,-2.2048,4.2804,1.538,4.0545,14209,430.5758,8.1678,2.0339,0.1709,0.0969,0.1147,-0.7775,2.0613,-0.0614,-0.6427,3.2674,-2.043,-1.0277,3.3226,-2.6677,4.5838,2.6507,2.9141,36189,1096.6364,7.7354,5.4699,0.2083,0.044,0.1906,0.7806,1.1451,1.0677,-3.335,1.6782,-3.5529,-4.2983,1.5805,-4.6038,5.8256,1.7013,5.7275,44853,1359.1818,9.7705,5.3673,0.2179,0.0381,0.2013,0.8265,0.9273,0.9986,-3.0157,1.4216,-3.1403,-4.0302,1.2947,-4.3924,5.28,1.6429,5.5782
"329",54908,1715.875,9.3768,7.281,0.113,0.038,0.1026,-0.4127,1.8036,0.211,2.7777,4.6119,-1.7415,5.4463,5.334,0.5254,7.9317,5.2546,2.978,61507,1922.0938,11.3609,6.7317,0.1137,0.0268,0.1136,-0.4317,1.7906,-1.0717,2.8606,4.735,6.729,6.5691,5.7243,11.9237,9.2823,4.874,13.9768,21425,669.5312,10.1205,2.6323,0.2371,0.1571,0.0621,-0.9157,2.4687,-0.6727,0.5111,3.3939,0.0753,-0.3184,3.7826,-2.5974,4.8857,3.0416,3.1292,53469,1670.9062,9.4822,7.0114,0.2494,0.0633,0.2109,0.5313,1.4693,0.623,-2.8557,2.0551,-3.5193,-4.0893,1.7289,-4.1142,5.5797,1.8433,5.1374,61708,1928.375,11.4125,6.7231,0.2161,0.052,0.184,0.8484,1.2559,0.4562,-3.1106,1.9424,-2.7841,-3.6702,1.7606,-3.1247,5.2798,2.107,4.5125
"3630",43205,1489.8276,9.6496,6.7786,0.0707,0.0294,0.0579,-0.6917,2.3679,-0.0105,0.8855,5.9179,-2.6907,2.5264,4.9974,-0.1928,6.5245,5.5388,3.3667,48948,1687.8621,11.6566,6.3574,0.0765,0.0201,0.0694,-0.0161,1.6458,0.4232,-1.3304,4.3635,-3.3885,0.4023,3.4848,-1.0124,4.9182,3.411,3.7883,12223,421.4828,9.1612,2.0199,0.1071,0.0774,0.0601,-1.1024,2.7885,-0.553,-0.9425,4.4691,-2.4443,-0.9909,4.6797,-4.5642,6.3952,3.4397,5.1694,42940,1480.6897,9.4767,6.8599,0.12,0.029,0.1036,0.3982,1.4927,0.5316,-3.4481,2.2701,-3.5717,-4.0771,1.7465,-3.7586,5.9526,1.9154,5.9694,46848,1615.4483,11.4547,6.1918,0.1236,0.0304,0.1081,0.2472,1.2423,0.0966,-2.6399,2.0136,-2.9244,-3.3407,1.7328,-3.9834,4.8203,1.8856,5.217
"3671",47916,1545.6774,9.3114,6.8179,0.0934,0.026,0.0934,-0.9037,2.0873,-0.1638,3.1841,5.5138,6.9215,6.9694,6.3651,12.722,10.1856,5.5726,4.6083,48892,1577.1613,10.5809,6.1221,0.0845,0.0261,0.0793,-0.6461,1.9708,-0.1581,2.6441,5.7347,6.75,7.0599,6.4125,12.4589,10.4309,5.1318,14.108,14393,464.2903,9.2014,2.0725,0.1625,0.1186,0.0532,-0.6269,2.9207,-1.0745,-0.032,4.0118,-0.6189,-0.4276,5.6579,0.657,6.4197,3.9997,4.3354,46957,1514.7419,9.1142,6.826,0.1835,0.0335,0.1821,0.5386,1.3356,0.6028,-4.5015,2.1636,-4.7272,-4.9192,1.9941,-4.7398,7.1587,1.9865,7.0293,46054,1485.6129,10.534,5.7924,0.1566,0.0312,0.1685,0.8015,1.1257,0.4355,-4.3606,1.9257,-4.8423,-4.166,1.9113,-3.255,6.3819,2.2165,6.7413
"3674",51311,1554.8788,9.0707,6.6138,0.0836,0.0272,0.0742,-0.1994,1.9014,0.2597,0.0514,4.6956,-2.6722,0.5513,5.0715,-2.7266,5.9691,4.0123,4.1554,54318,1646,10.623,5.9783,0.0809,0.0183,0.0803,0.5557,1.3564,0.7159,-2.3789,3.6423,-4.0048,-1.4659,3.9785,-3.2961,5.7705,2.3985,4.9421,12146,368.0606,8.5253,1.6657,0.2255,0.1544,0.0386,-0.683,2.6092,-0.7301,-0.2469,3.445,-0.6116,-3.1713,4.0205,-4.4016,5.9955,3.0783,4.5866,50722,1537.0303,9.2034,6.4437,0.1851,0.0375,0.191,0.7874,1.2479,0.5543,-5.04,1.9327,-5.2079,-7.2921,1.7491,-7.8669,9.1311,2.0424,9.3901,51700,1566.6667,10.6245,5.6894,0.1653,0.0358,0.1703,0.5132,1.0505,0.5039,-3.4789,1.8092,-3.5923,-5.3018,2.1366,-4.7271,6.5861,2.4578,5.1928
"399",56559,1767.4688,9.716,7.2381,0.1156,0.039,0.092,-0.0031,1.6379,0.4532,0.4292,4.3794,-3.0362,2.1964,3.9533,-0.2854,5.316,3.7733,3.0565,67179,2099.3438,12.3851,6.7444,0.1125,0.0204,0.0998,0.6771,1.3922,0.7694,0.1188,4.9738,-3.3292,2.5579,4.3552,-0.8043,6.2407,3.7032,4.5746,17291,540.3438,9.608,2.2377,0.2037,0.1508,0.1078,-0.7202,2.237,-0.7803,-0.7364,3.37,0.3661,-0.9839,3.916,-2.0826,4.9859,2.9772,2.9475,51276,1602.375,9.4728,6.7305,0.2161,0.0522,0.1793,1.1328,1.158,1.0705,-4.4733,1.6834,-4.7055,-4.5036,1.7181,-4.9711,6.7265,1.8594,6.721,68244,2132.625,12.4123,6.8363,0.2271,0.0486,0.2445,1.1845,0.9823,1.0338,-4.1843,1.5827,-4.5444,-4.067,1.5167,-4.352,6.113,1.9628,6.3511
"759",43065,1435.5,9.3926,6.4864,0.1266,0.0434,0.1172,-0.0651,2.0502,0.6097,0.5877,5.0893,-4.6257,3.7163,6.0057,10.1613,8.0723,3.8946,6.1623,51493,1716.4333,11.378,6.4025,0.1271,0.0308,0.122,0.148,1.5937,0.6351,0.8342,4.6904,-4.7141,4.6623,5.477,9.7062,8.1524,3.2451,5.6724,13718,457.2667,9.5511,2.0319,0.1859,0.127,0.0434,-1.1517,2.4925,-1.5202,-0.0535,3.836,0.3874,-0.4357,4.1641,-2.7666,5.5705,2.9588,3.6824,47612,1587.0667,9.5063,7.0856,0.2305,0.0485,0.2234,0.1957,1.6047,0.6291,-3.2762,2.716,-3.453,-4.3671,1.9429,-4.9134,6.328,1.8781,6.7574,48039,1601.3,11.4271,5.9474,0.2208,0.0451,0.1932,0.6919,1.2043,0.6064,-4.0064,2.082,-4.5772,-4.6286,1.7979,-4.0755,6.523,2.1027,5.3421
"786",38560,1243.871,8.386,6.0921,0.0923,0.034,0.0774,0.0205,1.6495,0.5641,-1.7103,3.1757,-2.8354,-0.9581,2.687,-1.7955,4.3716,2.1814,4.1221,42200,1361.2903,10.0167,5.5818,0.1056,0.0239,0.1008,0.949,1.2867,1.1643,-3.2996,2.8516,-4.4611,-1.9655,2.5138,-3.2128,5.3022,1.909,5.5315,13100,422.5806,8.8585,1.9593,0.2061,0.1295,0.1159,-0.5354,2.3718,-0.595,-0.6852,3.5937,-1.3968,-1.4474,3.6418,-3.2583,5.079,2.9759,3.1591,31321,1010.3548,7.6816,5.4022,0.1597,0.0463,0.1677,0.6725,1.3356,0.6888,-3.8872,2.0448,-4.2142,-4.6896,2.0481,-5.7084,6.6166,1.9838,6.7518,41372,1334.5806,10.1205,5.4162,0.1854,0.0406,0.1728,0.8643,1.1135,1.0688,-4.0769,1.6241,-4.4453,-4.9159,1.5618,-5.5766,6.6727,1.8239,7.265
"796",44209,1426.0968,9.1191,6.4231,0.125,0.0358,0.1249,0.0714,1.4318,0.6698,-2.8416,2.86,-4.3449,-2.3325,2.7007,-3.4169,5.171,2.0748,5.7378,47340,1527.0968,10.7519,5.8335,0.137,0.0248,0.1374,0.7192,1.1846,0.9457,-3.8268,2.8222,-5.1792,-2.5822,2.4689,-3.8633,5.8045,1.8975,6.6528,12047,388.6129,8.3834,1.9039,0.1869,0.1128,0.1152,-0.4587,2.1628,-0.721,-1.6699,3.1506,-2.4813,-2.5152,3.7115,-3.1444,5.4859,2.7582,4.8487,42941,1385.1935,9.0089,6.3152,0.1693,0.035,0.1691,0.5444,1.527,0.7266,-4.3895,2.198,-4.8344,-4.9778,2.0128,-5.3083,7.198,1.9356,7.611,47460,1530.9677,10.5931,5.936,0.2018,0.0327,0.2009,0.6785,1.057,0.7387,-4.1776,1.5118,-4.37,-4.8658,1.5653,-4.9743,6.6625,1.747,6.6048
"1017",56666,1666.6471,9.5678,6.5232,0.1192,0.0351,0.1162,0.1274,1.8922,0.8031,1.1987,5.9489,-2.8476,2.7036,5.4842,-1.5275,6.9301,5.4574,3.8124,64893,1908.6176,11.7766,6.0692,0.1512,0.0358,0.172,0.9063,1.3421,1.14,-2.4487,4.0794,-4.4483,-1.0234,3.7952,-3.3108,5.7226,2.8218,4.9242,20123,591.8529,9.5418,2.3228,0.1944,0.1421,0.0406,-0.8526,2.5188,-0.2152,0.0275,3.8482,-0.6904,-0.3222,4.2575,-3.2281,5.4261,3.2661,3.3753,55267,1625.5,9.7234,6.2604,0.2149,0.055,0.1974,0.7686,1.3856,0.7272,-3.7253,1.9734,-3.872,-5.1168,1.891,-5.1816,6.8425,1.7943,6.8699,68150,2004.4118,11.9012,6.307,0.2449,0.053,0.2014,0.682,1.0773,0.6061,-3.1757,1.5923,-3.5408,-4.667,1.4838,-4.6925,5.9405,1.7144,6.2038
"1030",45424,1336,8.4556,5.9169,0.1199,0.0314,0.1193,0.0744,1.8704,0.4222,0.2576,3.6789,-2.673,3.2137,4.382,-1.2485,5.9065,3.4274,4.4415,52906,1556.0588,10.3229,5.6449,0.129,0.0231,0.1337,0.3669,1.534,0.5428,-0.4206,3.2777,1.6087,3.7309,4.0862,6.6166,6.2183,2.3146,5.9675,13065,384.2647,8.8079,1.6338,0.189,0.1342,0.0527,-0.5772,2.7996,-0.8082,0.6831,4.1086,0.0873,0.3894,3.989,-2.0038,5.5225,3.329,3.3678,43336,1274.5882,8.6939,5.4902,0.1805,0.0402,0.1813,0.6586,1.9346,1.0521,-3.018,2.8387,-4.1168,-3.4774,2.2291,-3.9138,5.8845,1.9432,6.0776,53446,1571.9412,10.4277,5.6452,0.2131,0.041,0.2017,0.9036,1.364,1.0613,-3.4811,2.1564,-3.8347,-3.8301,1.6463,-3.987,5.7532,1.93,6.6748
"1040",42669,1422.3,9.2989,6.4915,0.1167,0.0337,0.112,0.6403,1.3953,1.0408,-3.1259,2.371,-3.4631,-2.8504,2.1412,-3.2725,5.1943,1.8648,5.2944,48913,1630.4333,11.2853,6.1317,0.13,0.0245,0.128,0.9735,1.0845,0.8349,-3.9783,2.0483,-4.3008,-3.3525,1.7964,-3.703,5.771,1.8187,5.5848,16831,561.0333,9.2993,2.5605,0.189,0.117,0.1023,-0.5679,2.3045,-0.4913,-0.79,3.476,-1.1381,-2.1505,4.1108,-3.7028,5.6993,2.7167,4.4086,40800,1360,9.3739,6.1575,0.2009,0.0509,0.1997,0.3377,1.5936,0.484,-3.5412,2.3576,-4.0604,-5.182,2.6583,-6.0479,7.0985,2.0692,7.0681,49108,1636.9333,11.3564,6.1176,0.2264,0.0358,0.2163,0.6642,1.0619,0.5195,-3.9345,1.6399,-4.5536,-5.6768,1.4746,-6.0351,7.1209,1.8524,7.7075
"1062",60984,1848,9.605,7.4234,0.113,0.0338,0.1035,0.0261,2.0507,1.2513,0.9486,4.6815,-3.883,4.8939,5.5833,-1.4447,7.8505,4.5294,5.0104,65819,1994.5152,11.4084,6.7454,0.1183,0.024,0.1207,0.4573,1.4404,0.7653,-0.3795,3.7664,-3.8614,4.6478,4.8479,9.7025,7.3524,2.7674,5.3449,19019,576.3333,10.2777,2.1636,0.2198,0.1332,0.1447,-0.8314,2.5759,-0.9552,0.6657,3.7555,0.2304,0.0239,3.7007,-1.7881,4.9965,3.2563,3.4743,59358,1798.7273,9.5314,7.2812,0.203,0.0508,0.1968,0.8469,1.8498,1.3305,-3.5973,2.6919,-4.56,-4.0965,2.2813,-4.737,6.4848,2.0635,6.8599,64771,1962.7576,11.6166,6.5191,0.2252,0.0503,0.2079,0.8989,1.3651,0.9433,-3.4917,2.1068,-3.9671,-3.8902,1.7861,-4.529,5.7838,2.0429,5.9851
"1093",51793,1670.7419,9.9078,6.9259,0.1056,0.0361,0.0954,0.4824,1.751,1.1567,-2.9008,3.7147,-4.4529,-1.465,3.6112,-3.1437,5.8567,2.5294,5.9243,57525,1855.6452,12.0104,6.3458,0.1254,0.0286,0.116,0.7676,1.2622,1.142,-3.8174,2.9281,-4.9942,-2.2214,3.1991,-3.5079,6.0409,2.0012,6.1406,15328,494.4516,9.6626,2.1017,0.1687,0.1232,0.058,-1.4408,2.5948,-1.5256,0.1684,3.6579,-0.2483,-0.7138,3.9922,-1.4437,5.4403,3.0111,3.9291,48842,1575.5484,9.6573,6.7008,0.2196,0.0469,0.1843,0.4752,1.5037,1.0082,-3.9682,2.1701,-4.6973,-5.6365,1.6819,-5.718,7.3838,1.7384,7.8611,54851,1769.3871,11.7955,6.161,0.2226,0.0436,0.2102,0.7121,1.1682,0.7442,-3.8224,1.7809,-4.4447,-4.9669,1.5702,-5.283,6.5649,1.9213,7.1673
"1102",46066,1535.5333,9.6034,6.7861,0.1074,0.0347,0.1014,0.4376,1.6058,0.8041,-2.7526,3.0238,-4.2209,-1.9305,2.8923,-3.3684,5.118,2.3213,5.5127,50626,1687.5333,11.325,6.3242,0.1251,0.0258,0.12,0.7825,1.2131,1.0158,-3.1693,3.2383,-4.5984,-2.0962,2.9877,-3.7032,5.6227,2.0786,5.431,15946,531.5333,9.5322,2.3666,0.1722,0.1323,0.0638,-1.4138,2.4413,-1.1556,-0.051,3.3595,-0.3213,-1.0016,4.0225,-2.2369,5.2579,2.9638,3.249,46540,1551.3333,9.622,6.8427,0.187,0.0398,0.1751,0.6606,1.4444,1.2282,-4.3658,1.9387,-4.4316,-5.7813,1.6871,-5.6464,7.6334,1.8279,7.623,51486,1716.2,11.3808,6.4,0.1968,0.0365,0.2014,0.9296,1.0419,0.9593,-4.1951,1.6162,-4.0759,-5.2012,1.4595,-5.4137,6.9052,1.9138,6.799
"3701",53219,1716.7419,9.4875,7.4319,0.0985,0.0305,0.0877,-0.6529,1.8921,-0.011,0.9661,4.4694,-2.8727,4.6145,5.6637,9.3098,7.7717,4.2292,4.5682,54820,1768.3871,10.8742,6.6793,0.0981,0.0328,0.0868,-0.4473,1.6012,0.2087,0.6454,4.285,3.9249,5.352,5.3619,9.8777,8.2038,3.4106,10.9947,15559,501.9032,8.2399,2.5018,0.1396,0.1153,0.041,-1.4282,3.1561,-0.8691,-0.3938,4.1749,-0.5749,-0.5426,4.4536,-2.3733,5.8307,3.9643,3.4241,52326,1687.9355,9.5552,7.2555,0.1507,0.0405,0.1488,0.4411,1.8012,0.9001,-3.931,2.5428,-4.6293,-4.4555,2.2231,-4.9652,6.8346,1.8542,7.227,53667,1731.1935,11.0823,6.416,0.1754,0.0375,0.1859,0.4171,1.1353,0.3794,-4.0917,1.934,-4.3415,-4.541,2.0451,-5.2892,6.4091,2.3815,5.8366
"3729",33122,1068.4516,7.9595,5.5133,0.1178,0.0375,0.1171,1.0479,1.5876,1.2646,-3.9012,3.0497,-5.0086,-3.2752,3.7623,-5.3158,6.7914,2.6262,7.1457,34152,1101.6774,9.5241,4.7509,0.1215,0.0289,0.1114,1.6195,1.0498,1.8693,-5.2416,2.0039,-6.0083,-4.5722,2.7516,-5.911,7.6887,2.1386,8.3291,9769,315.129,8.2412,1.5705,0.1539,0.1038,0.0725,0.0618,2.6752,0.2709,-1.63,3.9752,-3.9318,-2.8341,3.8285,-5.2215,6.3282,2.8741,5.1793,29734,959.1613,7.7355,5.0927,0.1658,0.0357,0.1798,0.8497,1.4371,0.6765,-4.4271,2.0421,-4.4632,-5.652,1.58,-5.5933,7.5984,1.806,7.3832,36973,1192.6774,9.6664,5.0676,0.1804,0.0327,0.1798,0.7773,1.1223,0.5581,-4.2483,1.7038,-4.0294,-5.1632,1.5088,-4.7437,6.9364,1.9067,5.7477
"797",40038,1291.5484,8.4955,6.2441,0.1236,0.04,0.1127,0.4398,1.6112,0.8079,-1.2548,4.2732,-3.5614,-0.0039,4.3022,-2.7545,5.5539,3.2071,4.908,46046,1485.3548,10.5993,5.7557,0.1399,0.0304,0.1356,0.9354,1.1853,1.1585,-3.1836,3.2514,-4.4685,-1.8905,3.3877,-3.0649,5.785,2.1377,5.7064,10281,331.6452,8.125,1.6765,0.2208,0.1268,0.1283,-0.585,2.3416,-0.8234,-0.6404,3.2281,-0.6998,-1.5715,3.369,-2.2433,4.8199,2.6912,3.3166,39635,1278.5484,8.4355,6.2252,0.2112,0.0383,0.1983,0.5097,1.3775,0.7929,-3.9888,1.916,-4.2337,-5.1552,1.5089,-5.5081,6.925,1.6236,6.9356,46199,1490.2903,10.3687,5.9033,0.2212,0.0376,0.2005,0.6968,1.0269,0.587,-3.7886,1.4958,-4.2373,-4.7164,1.3626,-5.3778,6.2946,1.6156,6.5024
"826",50827,1639.5806,9.3745,7.1835,0.1217,0.0371,0.116,0.1747,1.812,0.8835,0.6641,4.4854,-3.7715,4.4408,5.6205,8.5635,7.7114,3.9646,5.5413,52122,1681.3548,11.396,6.0598,0.1112,0.0284,0.114,0.6844,1.5843,0.6884,-0.6245,4.0386,-3.9581,4.1425,4.7503,7.9204,7.2172,2.705,6.8998,13545,436.9355,9.2932,1.9311,0.1495,0.1033,0.0678,-0.8809,2.8917,-1.1135,-0.3094,4.2182,-0.3883,-1.0023,4.0632,-3.3148,5.8514,3.2094,4.2703,49977,1612.1613,9.3754,7.0626,0.2056,0.0534,0.1784,0.5035,1.8492,1.0769,-3.6044,2.8726,-5.0524,-4.6736,2.2876,-5.5167,6.8937,2.1138,7.2307,54169,1747.3871,11.2156,6.3991,0.2095,0.0457,0.187,0.7791,1.2153,0.773,-4.008,1.8941,-3.9627,-4.8805,1.7224,-4.6382,6.6691,2.0112,6.5945
"855",63341,1919.4242,10.542,7.025,0.1253,0.04,0.1362,1.1329,1.5999,1.4479,-2.059,3.6296,-4.1697,-1.0256,3.9192,-3.5854,5.4654,2.7925,5.5549,68056,2062.303,12.2828,6.4782,0.1457,0.0408,0.1293,1.2542,1.3499,1.5116,-3.1925,3.0206,-4.532,-2.3861,2.8204,-3.4611,5.5062,2.4579,5.8257,18790,569.3939,9.4333,2.3289,0.1684,0.1254,0.0779,-0.2177,2.3426,-0.291,-0.1566,3.9438,-0.6957,-0.6558,3.794,-1.4894,5.0143,3.2854,2.5298,65698,1990.8485,10.733,7.1567,0.1807,0.0552,0.1901,1.2549,1.5978,1.396,-3.5309,2.5171,-4.4006,-4.195,2.4135,-4.8614,6.4266,2.2478,7.0657,73679,2232.697,12.49,6.8971,0.2344,0.0549,0.2162,1.2153,1.1706,1.3665,-3.832,1.7231,-4.2885,-4.5026,1.7206,-4.8404,6.3556,1.8278,6.7869
"888",48353,1559.7742,9.3906,6.822,0.1119,0.0389,0.0981,-0.5017,1.928,0.496,1.2764,4.7035,-4.0801,4.6738,6.4888,-2.1866,8.489,4.4279,5.0194,53443,1723.9677,11.3387,6.2447,0.1048,0.0246,0.1048,-0.2351,1.6569,-0.49,1.1105,4.4077,4.6699,5.7898,6.3732,11.6087,9.0604,3.9382,12.561,14341,462.6129,10.053,1.89,0.2077,0.1361,0.0381,-1.0239,2.4317,-0.9472,-0.0168,3.8284,-0.2624,-0.6363,5.0279,-2.6284,5.8077,3.684,2.6435,46719,1507.0645,9.1315,6.7786,0.2666,0.0595,0.2725,0.1641,1.3797,0.2777,-3.262,1.9855,-3.8354,-5.1803,2.0464,-5.3352,6.6161,1.9397,6.9297,53588,1728.6452,11.2926,6.2872,0.2269,0.0453,0.2217,0.6315,1.0203,0.5286,-3.8269,1.5359,-3.7385,-4.8247,1.9519,-4.3204,6.4292,2.0487,5.4467
"979",57370,1850.6452,10.487,7.248,0.1152,0.0287,0.1099,-0.3623,1.8078,0.4979,2.0334,4.8152,-3.6417,5.2802,5.9647,10.5173,8.6778,4.3443,4.8912,64331,2075.1935,12.5634,6.7842,0.1158,0.0239,0.1107,-0.1762,1.4482,-0.38,1.4099,4.2211,4.7509,5.8018,5.6363,10.851,8.6464,3.5498,11.6937,14399,464.4839,10.3168,1.8492,0.1341,0.1047,0.0402,-1.1914,2.5243,-0.8176,-0.3752,3.6421,0.2702,-1.8818,4.5042,-2.9598,5.8903,3.214,3.6237,58069,1873.1935,10.3641,7.4233,0.1567,0.0471,0.163,0.56,1.4977,0.775,-3.8236,2.1824,-4.4886,-4.6613,2.0573,-5.1913,6.6192,2.0215,7.44,61830,1994.5161,12.1634,6.7349,0.1904,0.0391,0.1931,0.6982,1.0475,0.6317,-3.717,1.6294,-3.6993,-4.322,1.5648,-3.9688,5.9537,1.9332,5.2081
