Site,Binomial,ID,Ndaphnia,Sex,Collector,Climate,Date,X240m,nbut,weight,death.p,Lum_Mean.hd,Lum_StdDev.hd,Sat_Mean.hd,Sat_StdDev.hd,Lum_Mean.fd,Lum_StdDev.fd,Sat_Mean.fd,Sat_StdDev.fd,Lum_Mean.hv,Lum_StdDev.hv,Sat_Mean.hv,Sat_StdDev.hv,Lum_Mean.fv,Lum_StdDev.fv,Sat_Mean.fv,Sat_StdDev.fv
JB,Zizina otis,3701,10,Male,PS,Temperate,11/11/2023,0,1,0.006,0,0.087533333,0.028633333,8.1606,5.113533333,0.086366667,0.026333333,7.850966667,3.984466667,0.1514,0.034333333,6.648633333,1.9187,0.151866667,0.033033333,5.870433333,2.1612
JCU,Zizina otis,127,10,Female,LH,Tropical,16/07/2022,0,1,0.004,0,0.10125,0.03225,3.86665,1.925175,0.1042,0.0209,4.56785,1.78955,0.210075,0.043075,6.6877,1.78385,0.2155,0.039075,6.251525,1.982525
JCU,Zizina otis,jcu1,10,Male,NA,Tropical,1/07/2023,5,2,0.005,0.5,0.1136,0.035033333,7.718666667,4.780466667,0.122366667,0.028333333,7.944016667,3.914716667,0.21265,0.050266667,6.10855,1.855466667,0.222666667,0.046183333,5.900083333,1.8782
JCU,Zizina otis,jcu8,10,Male,NA,Tropical,17/07/2022,1,2,0.006,0.1,0.1136,0.035033333,7.718666667,4.780466667,0.122366667,0.028333333,7.944016667,3.914716667,0.21265,0.050266667,6.10855,1.855466667,0.222666667,0.046183333,5.900083333,1.8782
JCU,Zizina otis,jcu3,10,Female,NA,Tropical,16/07/2022,9,2,0.005,0.9,0.10125,0.03225,3.86665,1.925175,0.1042,0.0209,4.56785,1.78955,0.210075,0.043075,6.6877,1.78385,0.2155,0.039075,6.251525,1.982525
JCU,Zizina otis,329,10,Male,MFE,Tropical,17/07/2022,7,1,0.004,0.7,0.1136,0.035033333,7.718666667,4.780466667,0.122366667,0.028333333,7.944016667,3.914716667,0.21265,0.050266667,6.10855,1.855466667,0.222666667,0.046183333,5.900083333,1.8782
JCU,Zizina otis,jcu5,10,Male,NA,Tropical,17/07/2022,7,2,0.004,0.7,0.1136,0.035033333,7.718666667,4.780466667,0.122366667,0.028333333,7.944016667,3.914716667,0.21265,0.050266667,6.10855,1.855466667,0.222666667,0.046183333,5.900083333,1.8782
LSP,Zizina otis,1113,10,Female,SS,Subtropical,23/09/2022,10,1,0.005,1,0.11498,0.0389,6.04536,3.01102,0.12642,0.02706,6.2905,2.44166,0.20382,0.04702,7.50062,1.79232,0.21214,0.04086,6.99682,1.8858
LSP,Zizina otis,1127,10,Female,SS,Subtropical,23/09/2022,4,1,0.009,0.4,0.11498,0.0389,6.04536,3.01102,0.12642,0.02706,6.2905,2.44166,0.20382,0.04702,7.50062,1.79232,0.21214,0.04086,6.99682,1.8858
LSP,Zizina otis,3074,10,Male,ZW,Subtropical,2/11/2023,2,1,0.005,0.2,0.112175,0.0363,8.071825,4.08095,0.113025,0.02515,7.252025,2.8647,0.208375,0.0504,6.85095,2.0635,0.20515,0.0397,6.585775,1.99665
