"MSPEC","CIE_L.hd","CIE_a.hd","CIE_b.hd","R.hd","G.hd","B.hd","CIE_L.fd","CIE_a.fd","CIE_b.fd","R.fd","G.fd","B.fd","CIE_L.b","CIE_a.b","CIE_b.b","R.b","G.b","B.b","CIE_L.hv","CIE_a.hv","CIE_b.hv","R.hv","G.hv","B.hv","CIE_L.fv","CIE_a.fv","CIE_b.fv","R.fv","G.fv","B.fv"
"3752",35.0263,4.8877,-2.1935,87.9275,80.0611,85.9323,35.1401,5.1175,-2.8488,88.1397,80.1819,87.282,42.3694,2.8977,1.9582,106.8365,99.4659,97.711,47.5647,3.2066,9.2597,124.4121,110.6857,97.6586,48.0556,4.0471,9.3753,127.1144,111.3944,98.6463
"3761",36.1478,4.9523,6.2957,96.836,82.2229,75.2236,37.9258,5.1474,9.1782,103.1017,86.0234,74.7137,41.6246,3.0596,3.7904,107.4225,98.2731,93.4711,49.5074,5.0074,12.9888,134.3975,114.1915,96.0369,52.7866,4.9911,12.9506,142.989,122.499,104.2334
"3898",39.9153,5.8399,5.6338,106.7378,90.6889,85.1141,40.2957,5.8823,8.977,109.6193,91.2772,80.5995,48.6856,3.2553,7.0838,126.1739,113.9939,104.2136,49.0621,4.4097,13.3789,132.4418,113.3928,94.2957,52.8916,4.5357,13.8049,143.0336,123.044,103.086
"3904",38.356,4.1118,0.3677,96.9232,88.2372,89.8239,38.7934,4.3294,-0.0795,97.9874,89.1318,91.5719,41.1633,2.1311,2.8249,103.7985,97.2878,93.6977,48.0854,3.9792,11.2709,128.1368,111.3828,95.4376,50.9162,4.2415,12.1007,136.4748,118.3349,101.112
"3905",42.6329,5.8397,6.7314,113.9057,97.1174,89.7314,41.6184,6.5316,9.7517,114.0709,94.0004,82.3783,51.372,2.9907,6.438,133.4184,122.0945,113.0738,53.6359,4.0963,13.4014,143.9097,125.0901,105.4281,59.6822,4.5184,13.5116,160.7415,140.3681,120.4323
"4046",36.7857,5.6962,-3.6934,91.9716,83.8173,92.5431,36.0652,5.5997,-2.5579,91.2593,82.1317,89.1017,48.1523,2.3847,4.5593,122.965,114.3265,107.9122,53.3482,3.23,13.5076,141.8735,124.8864,104.5237,51.9055,4.1331,13.5844,139.5523,120.7228,100.9626
"4136",36.0856,4.3867,1.403,92.2251,82.5507,82.7702,39.0701,4.4774,5.3209,102.4074,89.3262,83.5574,47.6987,2.3208,5.1622,122.3277,113.3066,106.0432,50.961,3.7763,12.3015,135.978,118.6677,100.7695,51.5166,4.2126,11.0903,137.3201,119.8496,104.3258
"4137",37.7037,5.0989,3.135,98.5993,86.0399,83.9479,37.7476,5.7754,3.9612,100.2435,85.6058,82.7064,50.1665,2.7414,5.7467,128.5151,118.3382,110.4917,51.3011,3.56,11.6836,136.187,119.7713,102.7117,50.5169,4.2863,11.2862,134.8739,117.2343,101.4598
"4139",40.1369,5.4047,-1.1943,101.9296,91.8897,96.6752,40.1675,5.8155,-1.5347,102.5678,91.7551,97.3687,44.7712,2.8854,3.373,114.1171,105.6563,101.4505,53.47,2.8598,10.9755,140.3559,125.8796,109.3093,54.9231,4.1096,12.363,146.7463,128.4736,110.5665
"4140",39.9648,5.2982,0.9909,102.8166,91.5087,92.7257,39.928,5.878,2.3604,104.5189,90.8633,90.4807,46.8007,2.4467,8.4203,121.2554,110.1123,97.2428,55.448,3.9854,13.1869,148.5162,129.8278,110.3242,53.5476,4.231,12.0323,143.2972,125.0095,107.7671
"4141",47.0109,6.7319,7.4376,127.0718,107.4607,99.3367,48.0816,6.6244,9.2097,130.5164,109.9,98.9258,69.649,4.9648,11.9229,185.467,167.3113,149.7771,70.8851,5.5691,21.2756,197.7692,169.0763,135.3564,67.0302,6.4591,20.3041,187.8883,158.1868,127.1542
"1110",39.7577,4.9932,3.3109,103.5816,90.8456,88.3725,40.3278,4.9883,7.0459,107.3949,91.9695,83.7833,48.6137,2.3021,4.538,122.7141,114.5038,108.3674,55.0277,3.8365,12.382,146.6076,129.0004,110.734,52.8568,4.6513,13.0854,142.6406,122.8897,104.2122
"1127",41.393,5.3844,6.4404,110.0864,94.5115,87.3166,42.8276,5.9612,8.4382,115.5769,97.4472,87.4709,46.0185,2.5305,6.2579,117.4832,107.7183,98.9764,51.8711,4.0437,13.2273,138.9825,120.6886,101.3837,54.1929,4.3686,14.1861,146.332,126.4161,105.6192
