"ID","Family","Binomial","Ndaphnia","Sex","Site","Collector","Climate","Date","X30m","X60m","X120m","X180m","X240m","nbut","Notes","weight","death.p"
"bg1","Lycaenidae","Zizina otis",10,"Male","BG",NA,"Tropical","17/07/2022",0,0,0,1,3,2,NA,0.005,0.3
"bg2","Lycaenidae","Zizina otis",10,"Male","BG",NA,"Tropical","17/07/2022",0,0,0,1,2,2,NA,0.005,0.2
"bg3","Lycaenidae","Zizina otis",10,"Male","BG",NA,"Tropical","17/07/2022",0,0,3,5,5,2,NA,0.005,0.5
"bg4","Lycaenidae","Zizina otis",10,"Male","BG",NA,"Tropical","17/07/2022",0,0,10,10,10,2,NA,0.006,1
"CC1","Lycaenidae","Zizina otis",10,"Male","CC",NA,"Subtropical","3/11/2023",0,0,1,1,2,2,NA,0.008,0.2
"CC2","Lycaenidae","Zizina otis",10,"Male","CC",NA,"Subtropical","3/11/2023",0,0,0,2,2,2,NA,0.007,0.2
"CC3","Lycaenidae","Zizina otis",10,"Male","CC",NA,"Subtropical","1/11/2023",0,0,5,6,7,2,NA,0.006,0.7
"CC4","Lycaenidae","Zizina otis",10,"Male","CC",NA,"Subtropical","3/11/2023",0,0,5,5,5,2,NA,0.008,0.5
"jb1","Lycaenidae","Zizina otis",10,"Female","JB",NA,"Temperate","3/11/2023",0,0,1,3,6,2,NA,0.004,0.6
"jb2","Lycaenidae","Zizina otis",10,"Male","JB",NA,"Temperate","3/11/2023",0,0,0,0,0,2,NA,0.007,0
"jcu1","Lycaenidae","Zizina otis",10,"Male","JCU",NA,"Tropical","1/07/2023",0,0,2,4,5,2,NA,0.005,0.5
"jcu3","Lycaenidae","Zizina otis",10,"Female","JCU",NA,"Tropical","16/07/2022",0,0,2,9,9,2,NA,0.005,0.9
"jcu5","Lycaenidae","Zizina otis",10,"Male","JCU",NA,"Tropical","17/07/2022",2,4,4,5,7,2,"scales in the daphnia after 30min",0.004,0.7
"jcu8","Lycaenidae","Zizina otis",10,"Male","JCU",NA,"Tropical","17/07/2022",0,0,1,1,1,2,NA,0.006,0.1
"mr1","Lycaenidae","Zizina otis",10,"Male","MR",NA,"Tropical","2/07/2023",0,0,0,1,1,2,NA,0.007,0.1
"mr2","Lycaenidae","Zizina otis",10,"Male","MR",NA,"Tropical",NA,0,0,1,5,6,2,NA,0.006,0.6
"mr3","Lycaenidae","Zizina otis",10,"Male","MR",NA,"Tropical","2/07/2023",0,0,6,6,6,2,NA,0.004,0.6
"mr4","Lycaenidae","Zizina otis",10,"Male","MR",NA,"Tropical","19/07/2022",0,0,0,3,4,2,"scales in liquid",0.005,0.4
"PC1","Lycaenidae","Zizina otis",10,"Female",NA,NA,"Temperate",NA,1,3,8,8,9,2,NA,0.008,0.9
"ZO8","Lycaenidae","Zizina otis",10,"Male",NA,NA,NA,NA,0,0,1,2,6,2,NA,0.006,0.6
"ZO9","Lycaenidae","Zizina otis",10,"Male","OC","ZW","Subtropical","1/11/2023",0,0,3,6,6,2,NA,0.006,0.6
"zof1","Lycaenidae","Zizina otis",10,"Female",NA,NA,NA,NA,0,1,1,2,3,2,NA,0.00816,0.3
"ZOM3","Lycaenidae","Zizina otis",10,"Male",NA,NA,"Temperate",NA,0,0,2,2,2,2,NA,0.008,0.2
